hcca,cluster.id,round,longitude,latitude,rdtpos,pop,Reported,UsedLastNight,Fever2Weeks,SoughtService
80201,80201_1,1,27.95026197,-16.54044866,0.072368421,161,0.50931677,0.50931677,31,0.161290323
80201,80201_1,2,27.95026197,-16.54044866,0.02661597,284,0.341549296,0.341549296,16,0.0625
80201,80201_1,3,27.95026197,-16.54044866,0.010791367,299,0.234113712,0.234113712,28,0.214285714
80201,80201_1,4,27.95026197,-16.54044866,0.024475524,289,0.363321799,0.363321799,17,0.176470588
80201,80201_1,5,27.95026197,-16.54044866,0.012232416,329,0.282674772,0.282674772,10,0.2
80201,80201_1,6,27.95026197,-16.54044866,0.007692308,268,0.197761194,0.197761194,10,0.1
80201,80201_10,1,28.01644673,-16.48337743,0.102941176,69,0.52173913,0.52173913,33,0.393939394
80201,80201_10,2,28.01644673,-16.48337743,0.028571429,192,0.359375,0.359375,9,0.222222222
80201,80201_10,3,28.01644673,-16.48337743,0,224,0.071428571,0.071428571,3,0
80201,80201_10,4,28.01644673,-16.48337743,0.006410256,161,0.291925466,0.291925466,10,0.2
80201,80201_10,5,28.01644673,-16.48337743,0.006896552,148,0.304054054,0.304054054,3,0.333333333
80201,80201_10,6,28.01644673,-16.48337743,0,143,0.20979021,0.20979021,8,0.375
80201,80201_11,1,27.93980147,-16.42484321,0.1875,16,0.375,0.375,1,0
80201,80201_11,2,27.93980147,-16.42484321,0.00990099,107,0.299065421,0.299065421,5,0
80201,80201_11,3,27.93980147,-16.42484321,0.018181818,115,0.191304348,0.191304348,21,0.142857143
80201,80201_11,4,27.93980147,-16.42484321,0.033333333,123,0.357723577,0.357723577,12,0.166666667
80201,80201_11,5,27.93980147,-16.42484321,0,48,0.020833333,0.020833333,6,0.166666667
80201,80201_11,6,27.93980147,-16.42484321,0.033333333,60,0.133333333,0.133333333,1,1
80201,80201_12,1,27.95418732,-16.42874617,0.027932961,181,0.364640884,0.364640884,17,0.117647059
80201,80201_12,2,27.95418732,-16.42874617,0.005249344,412,0.169902913,0.169902913,23,0.086956522
80201,80201_12,3,27.95418732,-16.42874617,0.002793296,400,0.05,0.05,43,0.23255814
80201,80201_12,4,27.95418732,-16.42874617,0.014662757,348,0.313218391,0.313218391,29,0.172413793
80201,80201_12,5,27.95418732,-16.42874617,0,276,0.130434783,0.130434783,14,0.357142857
80201,80201_12,6,27.95418732,-16.42874617,0.002777778,364,0.104395604,0.104395604,15,0.266666667
80201,80201_2,1,27.92715207,-16.43665301,0.028985507,69,0.202898551,0.202898551,10,0.1
80201,80201_2,2,27.92715207,-16.43665301,0.015873016,142,0.147887324,0.147887324,5,0.2
80201,80201_2,3,27.92715207,-16.43665301,0,100,0.03,0.03,10,0.2
80201,80201_2,4,27.92715207,-16.43665301,0.0125,168,0.482142857,0.482142857,15,0.4
80201,80201_2,5,27.92715207,-16.43665301,0.007633588,136,0.213235294,0.213235294,12,0.333333333
80201,80201_2,6,27.92715207,-16.43665301,0.006369427,159,0.119496855,0.119496855,8,0
80201,80201_3,1,27.92158979,-16.5200492,0.086956522,51,0.705882353,0.705882353,18,0.222222222
80201,80201_3,2,27.92158979,-16.5200492,0.027972028,148,0.331081081,0.331081081,17,0.117647059
80201,80201_3,3,27.92158979,-16.5200492,0,113,0.300884956,0.300884956,7,0
80201,80201_3,4,27.92158979,-16.5200492,0.016393443,124,0.282258065,0.282258065,3,0.333333333
80201,80201_3,5,27.92158979,-16.5200492,0.00621118,161,0.198757764,0.198757764,3,0
80201,80201_3,6,27.92158979,-16.5200492,0.013793103,147,0.095238095,0.095238095,12,0.333333333
80201,80201_4,1,27.99126742,-16.46810385,0.074766355,219,0.474885845,0.474885845,24,0.333333333
80201,80201_4,2,27.99126742,-16.46810385,0.014388489,430,0.327906977,0.327906977,26,0.461538462
80201,80201_4,3,27.99126742,-16.46810385,0.009920635,551,0.130671506,0.130671506,21,0.238095238
80201,80201_4,4,27.99126742,-16.46810385,0.007518797,417,0.287769784,0.287769784,21,0.142857143
80201,80201_4,5,27.99126742,-16.46810385,0.002409639,420,0.204761905,0.204761905,12,0.416666667
80201,80201_4,6,27.99126742,-16.46810385,0,390,0.161538462,0.161538462,23,0.52173913
80201,80201_5,1,27.96352634,-16.50459405,0.16,75,0.306666667,0.306666667,14,0.285714286
80201,80201_5,2,27.96352634,-16.50459405,0.044776119,76,0.184210526,0.184210526,4,0.5
80201,80201_5,3,27.96352634,-16.50459405,0.019230769,168,0.130952381,0.130952381,1,0
80201,80201_5,4,27.96352634,-16.50459405,0.022988506,175,0.337142857,0.337142857,15,0.133333333
80201,80201_5,5,27.96352634,-16.50459405,0.016129032,126,0.174603175,0.174603175,16,0.125
80201,80201_5,6,27.96352634,-16.50459405,0.017094017,117,0.085470085,0.085470085,3,0
80201,80201_6,1,28.00145913,-16.51358206,0,18,0.277777778,0.277777778,0,-1000
80201,80201_6,2,28.00145913,-16.51358206,0,21,0,0,0,-1000
80201,80201_6,3,28.00145913,-16.51358206,0,26,0.230769231,0.230769231,0,-1000
80201,80201_6,4,28.00145913,-16.51358206,0,22,0,0,0,-1000
80201,80201_6,5,28.00145913,-16.51358206,0,19,0.157894737,0.157894737,0,-1000
80201,80201_6,6,28.00145913,-16.51358206,0,18,0,0,0,-1000
80201,80201_7,1,27.98206747,-16.49477877,0.157718121,315,0.193650794,0.193650794,51,0.274509804
80201,80201_7,2,27.98206747,-16.49477877,0.037234043,401,0.244389027,0.244389027,25,0.36
80201,80201_7,3,27.98206747,-16.49477877,0.022403259,525,0.127619048,0.127619048,56,0.357142857
80201,80201_7,4,27.98206747,-16.49477877,0.10095498,781,0.585147247,0.585147247,134,0.470149254
80201,80201_7,5,27.98206747,-16.49477877,0.01910828,480,0.283333333,0.283333333,13,0.153846154
80201,80201_7,6,27.98206747,-16.49477877,0.002597403,389,0.159383033,0.159383033,8,0.125
80201,80201_8,1,27.95105285,-16.50594784,0.046610169,250,0.42,0.42,40,0.175
80201,80201_8,2,27.95105285,-16.50594784,0.014218009,463,0.269978402,0.269978402,45,0.177777778
80201,80201_8,3,27.95105285,-16.50594784,0.006389776,682,0.08797654,0.08797654,26,0.230769231
80201,80201_8,4,27.95105285,-16.50594784,0.02173913,659,0.321699545,0.321699545,47,0.191489362
80201,80201_8,5,27.95105285,-16.50594784,0.003676471,549,0.180327869,0.180327869,10,0.3
80201,80201_8,6,27.95105285,-16.50594784,0.003039514,662,0.087613293,0.087613293,41,0.268292683
80201,80201_9,1,27.99787434,-16.49404346,0.220588235,74,0.445945946,0.445945946,21,0.571428571
80201,80201_9,2,27.99787434,-16.49404346,0.046082949,245,0.314285714,0.314285714,20,0.35
80201,80201_9,3,27.99787434,-16.49404346,0.015544041,216,0.148148148,0.148148148,22,0.409090909
80201,80201_9,4,27.99787434,-16.49404346,0.015873016,326,0.5,0.5,20,0.35
80201,80201_9,5,27.99787434,-16.49404346,0.009174312,233,0.158798283,0.158798283,4,0
80201,80201_9,6,27.99787434,-16.49404346,0.008928571,225,0.195555556,0.195555556,6,0.166666667
80202,80202_1,1,27.82757734,-16.80448742,0.428893905,1568,0.458545918,0.458545918,276,0.180505415
80202,80202_1,2,27.82757734,-16.80448742,0.197519084,1193,0.352891869,0.352891869,128,0.140625
80202,80202_1,3,27.82757734,-16.80448742,0.225118483,1476,0.388211382,0.388211382,150,0.146666667
80202,80202_1,4,27.82757734,-16.80448742,0.531055901,1415,0.513074205,0.513074205,313,0.242811502
80202,80202_1,5,27.82757734,-16.80448742,0.288288288,1424,0.341292135,0.341292135,137,0.131386861
80202,80202_1,6,27.82757734,-16.80448742,0.308,1346,0.29346211,0.29346211,66,0.075757576
80202,80202_10,1,28.05454297,-16.76276415,0.419254658,717,0.436541144,0.436541144,144,0.104166667
80202,80202_10,2,28.05454297,-16.76276415,0.221388368,635,0.365354331,0.365354331,34,0.088235294
80202,80202_10,3,28.05454297,-16.76276415,0.193133047,780,0.392307692,0.392307692,77,0.102564103
80202,80202_10,4,28.05454297,-16.76276415,0.464351005,592,0.383445946,0.383445946,100,0.07
80202,80202_10,5,28.05454297,-16.76276415,0.206349206,543,0.252302026,0.252302026,32,0.03125
80202,80202_10,6,28.05454297,-16.76276415,0.08974359,502,0.229083665,0.229083665,5,0
80202,80202_2,1,27.89093107,-16.70535137,0.33105802,666,0.481981982,0.481981982,224,0.089285714
80202,80202_2,2,27.89093107,-16.70535137,0.091644205,431,0.484918794,0.484918794,20,0.05
80202,80202_2,3,27.89093107,-16.70535137,0.113207547,604,0.443708609,0.443708609,70,0.071428571
80202,80202_2,4,27.89093107,-16.70535137,0.335390947,531,0.352165725,0.352165725,78,0.166666667
80202,80202_2,5,27.89093107,-16.70535137,0.144736842,485,0.402061856,0.402061856,5,0.2
80202,80202_2,6,27.89093107,-16.70535137,0.126106195,474,0.284810127,0.284810127,5,0
80202,80202_3,1,27.98349071,-16.7331751,0.62890625,614,0.346905537,0.346905537,177,0.084745763
80202,80202_3,2,27.98349071,-16.7331751,0.298795181,478,0.225941423,0.225941423,43,0.046511628
80202,80202_3,3,27.98349071,-16.7331751,0.226415094,527,0.35483871,0.35483871,48,0.041666667
80202,80202_3,4,27.98349071,-16.7331751,0.584487535,391,0.404092072,0.404092072,87,0.137931034
80202,80202_3,5,27.98349071,-16.7331751,0.207943925,461,0.353579176,0.353579176,24,0.125
80202,80202_3,6,27.98349071,-16.7331751,0.125570776,463,0.203023758,0.203023758,3,0
80202,80202_4,1,28.10987384,-16.73187919,0.271084337,189,0.55026455,0.55026455,7,0
80202,80202_4,2,28.10987384,-16.73187919,0.214285714,169,0.485207101,0.485207101,1,0
80202,80202_4,3,28.10987384,-16.73187919,0.064220183,135,0.22962963,0.22962963,34,0.088235294
80202,80202_4,4,28.10987384,-16.73187919,0.350364964,146,0.376712329,0.376712329,34,0.205882353
80202,80202_4,5,28.10987384,-16.73187919,0.109375,152,0.440789474,0.440789474,9,0
80202,80202_4,6,28.10987384,-16.73187919,0.18018018,117,0.256410256,0.256410256,2,0
80202,80202_5,1,27.77991831,-16.76237758,0.489256198,676,0.556213018,0.556213018,139,0.151079137
80202,80202_5,2,27.77991831,-16.76237758,0.224489796,634,0.503154574,0.503154574,83,0.120481928
80202,80202_5,3,27.77991831,-16.76237758,0.192982456,730,0.506849315,0.506849315,99,0.131313131
80202,80202_5,4,27.77991831,-16.76237758,0.530841121,586,0.650170648,0.650170648,155,0.258064516
80202,80202_5,5,27.77991831,-16.76237758,0.366990291,574,0.364111498,0.364111498,58,0.155172414
80202,80202_5,6,27.77991831,-16.76237758,0.270321361,550,0.318181818,0.318181818,26,0.230769231
80202,80202_6,1,27.94228474,-16.74267142,0.544152745,1363,0.532648569,0.532648569,476,0.228991597
80202,80202_6,2,27.94228474,-16.74267142,0.256779661,1312,0.418445122,0.418445122,158,0.056962025
80202,80202_6,3,27.94228474,-16.74267142,0.238644557,1546,0.453428202,0.453428202,199,0.08040201
80202,80202_6,4,27.94228474,-16.74267142,0.509267432,1214,0.453871499,0.453871499,177,0.118644068
80202,80202_6,5,27.94228474,-16.74267142,0.235294118,1100,0.381818182,0.381818182,16,0.25
80202,80202_6,6,27.94228474,-16.74267142,0.197093551,1188,0.371212121,0.371212121,10,0
80202,80202_7,1,28.00405029,-16.68686869,0.475268817,504,0.513888889,0.513888889,144,0.180555556
80202,80202_7,2,28.00405029,-16.68686869,0.212962963,508,0.326771654,0.326771654,17,0
80202,80202_7,3,28.00405029,-16.68686869,0.122287968,564,0.420212766,0.420212766,52,0.019230769
80202,80202_7,4,28.00405029,-16.68686869,0.444751381,375,0.429333333,0.429333333,54,0.074074074
80202,80202_7,5,28.00405029,-16.68686869,0.22392638,334,0.125748503,0.125748503,16,0
80202,80202_7,6,28.00405029,-16.68686869,0.102678571,474,0.265822785,0.265822785,2,0
80202,80202_8,1,27.86949796,-16.74520651,0.332378223,795,0.621383648,0.621383648,170,0.217647059
